Sensor ID,Motherboard ID,Motherboard Name,metric,value,timestamp,unit
29,38,Jim,Sound Level,57.95,2021-03-10T23:13:02.000Z,dBa
9,35,Joyce,Sound Level,59.28,2021-03-10T23:13:22.000Z,dBa
9,35,Joyce,Sound Level,61.56,2021-03-10T23:18:33.000Z,dBa
29,38,Jim,Sound Level,57.95,2021-03-10T23:19:23.000Z,dBa
9,35,Joyce,Sound Level,59.22,2021-03-10T23:23:45.000Z,dBa
29,38,Jim,Sound Level,59.31,2021-03-10T23:24:23.000Z,dBa
9,35,Joyce,Sound Level,55.83,2021-03-10T23:28:56.000Z,dBa
29,38,Jim,Sound Level,60.53,2021-03-10T23:29:23.000Z,dBa
9,35,Joyce,Sound Level,55.07,2021-03-10T23:34:08.000Z,dBa
29,38,Jim,Sound Level,59.65,2021-03-10T23:34:23.000Z,dBa
9,35,Joyce,Sound Level,56.16,2021-03-10T23:39:19.000Z,dBa
29,38,Jim,Sound Level,60.57,2021-03-10T23:39:23.000Z,dBa
29,38,Jim,Sound Level,57.1,2021-03-10T23:44:23.000Z,dBa
9,35,Joyce,Sound Level,57.8,2021-03-10T23:44:31.000Z,dBa
9,35,Joyce,Sound Level,54.4,2021-03-10T23:49:42.000Z,dBa
29,38,Jim,Sound Level,66.28,2021-03-10T23:50:44.000Z,dBa
9,35,Joyce,Sound Level,55.33,2021-03-10T23:54:54.000Z,dBa
29,38,Jim,Sound Level,60.27,2021-03-10T23:55:44.000Z,dBa
29,38,Jim,Sound Level,56.52,2021-03-11T00:00:44.000Z,dBa
9,35,Joyce,Sound Level,55.27,2021-03-11T00:05:17.000Z,dBa
29,38,Jim,Sound Level,67.26,2021-03-11T00:05:44.000Z,dBa
9,35,Joyce,Sound Level,59.75,2021-03-11T00:10:28.000Z,dBa
29,38,Jim,Sound Level,57.43,2021-03-11T00:10:44.000Z,dBa
9,35,Joyce,Sound Level,61.18,2021-03-11T00:15:40.000Z,dBa
29,38,Jim,Sound Level,56.51,2021-03-11T00:15:44.000Z,dBa
9,35,Joyce,Sound Level,64.65,2021-03-11T00:20:51.000Z,dBa
29,38,Jim,Sound Level,58.86,2021-03-11T00:22:05.000Z,dBa
9,35,Joyce,Sound Level,58.14,2021-03-11T00:26:03.000Z,dBa
29,38,Jim,Sound Level,56.78,2021-03-11T00:27:05.000Z,dBa
9,35,Joyce,Sound Level,60.09,2021-03-11T00:31:14.000Z,dBa
29,38,Jim,Sound Level,56.14,2021-03-11T00:32:05.000Z,dBa
9,35,Joyce,Sound Level,59.54,2021-03-11T00:36:26.000Z,dBa
29,38,Jim,Sound Level,54.03,2021-03-11T00:37:05.000Z,dBa
29,38,Jim,Sound Level,54.62,2021-03-11T00:42:05.000Z,dBa
